NVM, MEM_CAP, LATENCY (NS)
1,100,306975
1,100,316237
1,100,316709
1,100,320785
1,100,325507
1,100,316387
1,100,317345
1,100,318848
1,100,318033
1,100,321250
1,100,315396
1,100,315380
1,100,307235
1,100,307396
1,100,306823
1,100,307397
1,100,308166
1,100,312192
1,100,307258
1,100,307480
1,100,306274
1,100,306691
1,100,310286
1,100,338468
1,100,349452
1,100,351234
1,100,354122
1,100,307141
1,100,320247
1,100,348351
1,100,373998
1,100,356619
1,200,272972
1,200,272269
1,200,314129
1,200,315953
1,200,316244
1,200,312153
1,200,305244
1,200,305946
1,200,305121
1,200,285258
1,200,283748
1,200,284291
1,200,280741
1,200,280122
1,200,275332
1,200,271960
1,200,272779
1,200,271728
1,200,271866
1,200,272746
1,200,272048
1,200,271796
1,200,272611
1,200,284627
1,200,284289
1,200,302042
1,200,276880
1,200,284902
1,200,302380
1,200,419340
1,200,304794
1,200,282173
1,200,283505
1,200,285127
1,200,282097
1,200,279857
1,200,279845
1,200,279226
1,200,281917
1,200,279987
1,200,281632
1,200,281181
1,200,287675
1,200,283589
1,200,274809
1,200,272861
1,200,272795
1,200,272746
1,200,272290
1,200,273268
1,200,271589
1,200,271161
1,200,304105
1,200,272186
1,200,310131
1,200,310977
1,200,307170
1,200,308353
1,200,307214
1,200,306125
1,200,307332
1,200,305615
1,200,305202
1,200,272541
1,200,272859
1,200,272289
1,200,311106
1,200,331726
1,200,280147
1,200,280513
1,200,284119
1,200,280661
1,200,274407
1,200,274327
1,200,272158
1,200,272772
1,200,273147
1,200,273442
1,200,272804
1,200,272977
1,200,273723
1,200,306737
1,200,276133
1,200,396483
1,200,394202
1,200,362863
1,200,305209
1,200,311850
1,200,306152
1,200,303919
1,200,304936
1,200,305949
1,200,311145
1,200,307204
1,200,302661
1,200,272921
1,200,309475
1,200,294417
1,200,305580
1,200,306159
1,300,262119
1,300,272880
1,300,275349
1,300,242181
1,300,242327
1,300,241687
1,300,243318
1,300,241399
1,300,241378
1,300,242349
1,300,242127
1,300,241687
1,300,242413
1,300,242510
1,300,242464
1,300,242139
1,300,243074
1,300,243087
1,300,241982
1,300,242444
1,300,241755
1,300,241686
1,300,242151
1,300,242811
1,300,241096
1,300,242359
1,300,242292
1,300,275118
1,300,262210
1,300,273628
1,300,241645
1,300,247855
1,300,247815
1,300,249785
1,300,248812
1,300,248012
1,300,249071
1,300,249110
1,300,252077
1,300,250363
1,300,247475
1,300,248894
1,300,247718
1,300,248635
1,300,248713
1,300,248548
1,300,250469
1,300,250967
1,300,247550
1,300,242010
1,300,242131
1,300,243307
1,300,243120
1,300,242800
1,300,247722
1,300,248412
1,300,248789
1,300,249066
1,300,251421
1,300,251428
1,300,275001
1,300,261705
1,300,241194
1,300,242131
1,300,241719
1,300,242521
1,300,241000
1,300,243179
1,300,243539
1,300,241965
1,300,242474
1,300,243166
1,300,241803
1,300,242291
1,300,246016
1,300,243177
1,300,241822
1,300,274496
1,300,273938
1,300,271804
1,300,243575
1,300,242272
1,300,242535
1,300,242318
1,300,242394
1,300,255698
1,300,274849
1,300,244054
1,300,240943
1,300,241950
1,300,243272
1,300,241749
1,300,242436
1,300,242451
1,300,242664
1,300,242223
1,300,242980
1,300,242202
1,300,242139
1,300,242322
